API,Complexity,Response Time (s),Response Size (bytes)
REST,medium,0.45296692848205566,41079
REST,medium,0.48864006996154785,41079
REST,medium,0.48123908042907715,41079
REST,medium,0.45367884635925293,41079
REST,medium,0.4855318069458008,41079
REST,medium,0.5373649597167969,41079
REST,medium,0.46599912643432617,41079
REST,medium,0.5616550445556641,41079
REST,medium,0.4668731689453125,41079
REST,medium,0.453139066696167,41079
REST,high,0.4950249195098877,41079
REST,high,0.47394418716430664,41079
REST,high,0.4393768310546875,41079
REST,high,0.4615437984466553,41079
REST,high,0.4841647148132324,41079
REST,high,0.48589611053466797,41079
REST,high,0.5248661041259766,41079
REST,high,0.5188610553741455,41079
REST,high,0.4904658794403076,41079
REST,high,0.47432589530944824,41079
REST,high,0.49295711517333984,41079
REST,high,0.43157100677490234,41079
REST,high,0.4774348735809326,41079
REST,high,0.6221249103546143,41079
REST,high,0.5139060020446777,41079
REST,high,0.4660470485687256,41079
REST,high,0.48157620429992676,41079
REST,high,0.4600870609283447,41079
REST,high,0.49618983268737793,41079
REST,high,0.5201640129089355,41079
REST,high,0.46532106399536133,41079
REST,high,0.47741174697875977,41079
REST,high,0.5171248912811279,41079
REST,high,0.4855358600616455,41079
REST,high,0.48160314559936523,41079
REST,high,0.6068379878997803,41079
REST,high,0.4596531391143799,41079
REST,high,0.49865198135375977,41079
REST,high,0.4840269088745117,41079
REST,high,0.45246315002441406,41079
REST,high,0.4684481620788574,41079
REST,high,0.44472408294677734,41079
REST,high,0.4848599433898926,41079
REST,high,0.4721369743347168,41079
REST,high,0.5341329574584961,41079
REST,high,0.46544694900512695,41079
REST,high,0.4924001693725586,41079
REST,high,0.4353361129760742,41079
REST,high,0.4925220012664795,41079
REST,high,0.4639921188354492,41079
REST,high,0.5265448093414307,41079
REST,high,0.5118279457092285,41079
REST,high,0.5053367614746094,41079
REST,high,0.5718250274658203,41079
REST,high,0.5006780624389648,41079
REST,high,0.5808620452880859,41079
REST,high,0.46128296852111816,41079
REST,high,0.574958086013794,41079
REST,high,0.43974924087524414,41079
REST,high,0.45730161666870117,41079
REST,high,0.4578728675842285,41079
REST,high,0.5052111148834229,41079
REST,high,0.44220805168151855,41079
REST,high,0.45345592498779297,41079
REST,high,0.5068061351776123,41079
REST,high,0.45546817779541016,41079
REST,high,0.46825218200683594,41079
REST,high,0.45978307723999023,41079
REST,high,0.4678680896759033,41079
REST,high,0.4488990306854248,41079
REST,high,0.46202588081359863,41079
REST,high,0.47971487045288086,41079
REST,high,0.5141561031341553,41079
REST,high,0.5523931980133057,41079
REST,high,0.44794392585754395,41079
REST,high,0.47156786918640137,41079
REST,high,0.5471670627593994,41079
REST,high,0.46869707107543945,41079
REST,high,0.5280351638793945,41079
REST,high,0.571030855178833,41079
REST,high,0.6561000347137451,41079
REST,high,0.653393030166626,41079
REST,high,0.5588409900665283,41079
REST,high,0.6684379577636719,41079
REST,high,0.7024116516113281,41079
REST,high,0.6574060916900635,41079
REST,high,0.7409169673919678,41079
REST,high,0.7529540061950684,41079
REST,high,0.5956618785858154,41079
REST,high,0.7368698120117188,41079
REST,high,0.6562590599060059,41079
REST,high,0.6147239208221436,41079
REST,high,0.45846033096313477,41079
REST,high,0.6594939231872559,41079
REST,high,0.5166637897491455,41079
REST,high,0.4999392032623291,41079
REST,high,0.48892903327941895,41079
REST,high,0.4668092727661133,41079
REST,high,0.446134090423584,41079
REST,high,0.44078707695007324,41079
REST,high,0.4636690616607666,41079
REST,high,0.4949362277984619,41079
REST,high,0.520374059677124,41079
REST,high,0.628385066986084,41079
REST,high,0.46797990798950195,41079
REST,high,0.45107197761535645,41079
REST,high,0.5688619613647461,41079
REST,high,0.5862588882446289,41079
REST,high,0.5238790512084961,41079
REST,high,0.5084638595581055,41079
REST,high,0.49011707305908203,41079
REST,high,0.4580860137939453,41079
REST,high,0.5631179809570312,41079
REST,high,0.5664937496185303,41079
REST,high,0.48745083808898926,41079
REST,high,0.49075913429260254,41079
REST,high,0.4884610176086426,41079
REST,high,0.47667384147644043,41079
REST,high,0.5335500240325928,41079
REST,high,0.5130200386047363,41079
REST,high,0.48023200035095215,41079
REST,high,0.4333770275115967,41079
REST,high,0.4719817638397217,41079
REST,high,0.5319008827209473,41079
REST,high,0.6627671718597412,41079
REST,high,0.5331552028656006,41079
REST,high,0.5474629402160645,41079
